userId	UserName	Room name	Chat messages	Time (PT)	Time (UTC)
31_da8188f8-1103-11e4-b281-22000ad2b690	حمدان	ARAB_TQCWEPLPBA	'جب	2014-07-21 14:01:10	2014-07-21 21:01:10
31_628e6a43-0eb2-11e4-b281-22000ad2b690	GEFARA	ARAB_TQCWEPLPBA	'اهلين	2014-07-21 01:55:16	2014-07-21 08:55:16
31_da8188f8-1103-11e4-b281-22000ad2b690	حمدان	ARAB_TQCWEPLPBA	'جب	2014-07-21 14:01:13	2014-07-21 21:01:13
31_628e6a43-0eb2-11e4-b281-22000ad2b690	GEFARA	ARAB_TQCWEPLPBA	'2	2014-07-21 01:55:39	2014-07-21 08:55:39
31_dd2b4bc1-10c0-11e4-b281-22000ad2b690	BDER511	ARAB_TQCWEPLPBA	'جب	2014-07-21 14:01:20	2014-07-21 21:01:20
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'٢	2014-07-21 01:55:44	2014-07-21 08:55:44
31_3a3d73a4-ffc5-11e3-b281-22000ad2b690	FISSL490138	ARAB_TQCWEPLPBA	'مابي اصير 	2014-07-21 14:02:44	2014-07-21 21:02:44
31_b588bb77-0b35-11e4-b281-22000ad2b690	خالد ٢٢	ARAB_TQCWEPLPBA	'وش ٢	2014-07-21 01:55:52	2014-07-21 08:55:52
31_da8188f8-1103-11e4-b281-22000ad2b690	حمدان	ARAB_TQCWEPLPBA	'جب	2014-07-21 14:04:13	2014-07-21 21:04:13
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'خلاص انت	2014-07-21 01:56:02	2014-07-21 08:56:02
31_ac233766-f3e5-11e3-b281-22000ad2b690	مدينة بو مرهون	ARAB_TQCWEPLPBA	'نهن	2014-07-21 14:09:05	2014-07-21 21:09:05
31_2d38ba46-fcc2-11e3-b281-22000ad2b690	SL6AN	ARAB_TQCWEPLPBA	'هههههههـ من جد وش ٢	2014-07-21 01:56:11	2014-07-21 08:56:11
31_ac233766-f3e5-11e3-b281-22000ad2b690	مدينة بو مرهون	ARAB_TQCWEPLPBA	'ووت	2014-07-21 14:09:07	2014-07-21 21:09:07
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'مايضحك	2014-07-21 01:56:32	2014-07-21 08:56:32
31_e8e5bceb-107e-11e4-b281-22000ad2b690	بني عبدالله	ARAB_TQCWEPLPBA	'هلا	2014-07-21 14:10:47	2014-07-21 21:10:47
31_628e6a43-0eb2-11e4-b281-22000ad2b690	GEFARA	ARAB_TQCWEPLPBA	'يعني فيه خالدان بالمحادثة	2014-07-21 01:56:39	2014-07-21 08:56:39
31_8d9d181f-0f65-11e4-b281-22000ad2b690	هشيم	ARAB_TQCWEPLPBA	'السلام عليكم	2014-07-21 14:22:54	2014-07-21 21:22:54
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'لا تعيب على اسمي	2014-07-21 01:57:00	2014-07-21 08:57:00
31_8d9d181f-0f65-11e4-b281-22000ad2b690	هشيم	ARAB_TQCWEPLPBA	'كيف اقدر استحوذ على خنجر	2014-07-21 14:23:12	2014-07-21 21:23:12
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'تراني نعيمي	2014-07-21 01:57:12	2014-07-21 08:57:12
31_698a2fe7-105f-11e4-b281-22000ad2b690	BSO0OLY_KSA	ARAB_TQCWEPLPBA	'هلا	2014-07-21 14:23:30	2014-07-21 21:23:30
31_2d38ba46-fcc2-11e3-b281-22000ad2b690	SL6AN	ARAB_TQCWEPLPBA	'يا الخوي اي تعيييييب الناس في العشر الاواخر وانت تعييب 	2014-07-21 01:57:33	2014-07-21 08:57:33
31_4d4ba2d2-0d6d-11e4-b281-22000ad2b690	بقيق	ARAB_TQCWEPLPBA	'يالله حيهم	2014-07-21 14:36:22	2014-07-21 21:36:22
31_628e6a43-0eb2-11e4-b281-22000ad2b690	GEFARA	ARAB_TQCWEPLPBA	'يعني ؟؟!!!	2014-07-21 01:57:40	2014-07-21 08:57:40
31_e901b0d4-0f59-11e4-b281-22000ad2b690	G2 IN	ARAB_TQCWEPLPBA	'هلا	2014-07-21 14:42:40	2014-07-21 21:42:40
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'كم لفلاتكم	2014-07-21 01:57:52	2014-07-21 08:57:52
31_48b7954c-1044-11e4-b281-22000ad2b690	NAIF511	ARAB_TQCWEPLPBA	'الو	2014-07-21 15:04:23	2014-07-21 22:04:23
31_b588bb77-0b35-11e4-b281-22000ad2b690	خالد ٢٢	ARAB_TQCWEPLPBA	'٨	2014-07-21 01:57:59	2014-07-21 08:57:59
31_195cd1aa-110e-11e4-b281-22000ad2b690	SALM199537	ARAB_TQCWEPLPBA	'السلام	2014-07-21 15:09:50	2014-07-21 22:09:50
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'تقول حق من	2014-07-21 01:58:01	2014-07-21 08:58:01
31_d0707904-1122-11e4-b281-22000ad2b690	MR_AOK	ARAB_TQCWEPLPBA	'السلام	2014-07-21 15:10:01	2014-07-21 22:10:01
31_2d38ba46-fcc2-11e3-b281-22000ad2b690	SL6AN	ARAB_TQCWEPLPBA	'٢٧	2014-07-21 01:58:02	2014-07-21 08:58:02
31_e8e5bceb-107e-11e4-b281-22000ad2b690	بني عبدالله	ARAB_TQCWEPLPBA	'هلا	2014-07-21 15:25:12	2014-07-21 22:25:12
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'١١	2014-07-21 01:58:08	2014-07-21 08:58:08
31_e2746e9f-fcca-11e3-b281-22000ad2b690	قحطان	ARAB_TQCWEPLPBA	'السلام عليكم	2014-07-21 15:26:29	2014-07-21 22:26:29
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'انا فلوسي 	2014-07-21 01:58:33	2014-07-21 08:58:33
31_c4815a89-06f0-11e4-b281-22000ad2b690	YASEENMK	ARAB_TQCWEPLPBA	'في حد	2014-07-21 15:51:56	2014-07-21 22:51:56
31_628e6a43-0eb2-11e4-b281-22000ad2b690	GEFARA	ARAB_TQCWEPLPBA	'9	2014-07-21 01:58:34	2014-07-21 08:58:34
31_dc725cbf-0e8e-11e4-b281-22000ad2b690	ثامر الجهني	ARAB_TQCWEPLPBA	'ابي قبيله	2014-07-21 15:55:30	2014-07-21 22:55:30
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'٣٣،٨٤٧	2014-07-21 01:58:57	2014-07-21 08:58:57
31_33292d43-df4c-11e3-b281-22000ad2b690	قبيلة ال نجم	ARAB_TQCWEPLPBA	'السلام عليكم ياربع	2014-07-21 15:58:58	2014-07-21 22:58:58
31_2d38ba46-fcc2-11e3-b281-22000ad2b690	SL6AN	ARAB_TQCWEPLPBA	'انا مطفر فلوووووس بس مطنوخ مويه	2014-07-21 01:59:03	2014-07-21 08:59:03
31_e9f3c648-045e-11e4-b281-22000ad2b690	AL SHABAH	ARAB_TQCWEPLPBA	'اهلا	2014-07-21 16:16:18	2014-07-21 23:16:18
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'انا ١١	2014-07-21 01:59:13	2014-07-21 08:59:13
31_2d8efd25-fede-11e3-b281-22000ad2b690	منصور المطيري	ARAB_TQCWEPLPBA	'سلام عليكم	2014-07-21 16:24:47	2014-07-21 23:24:47
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'انا حد فلوسي ٦٣،٧٥٠	2014-07-21 01:59:51	2014-07-21 08:59:51
31_5da59877-1123-11e4-b281-22000ad2b690	THOR	ARAB_TQCWEPLPBA	'سيكم بالخير	2014-07-21 16:33:18	2014-07-21 23:33:18
31_2d38ba46-fcc2-11e3-b281-22000ad2b690	SL6AN	ARAB_TQCWEPLPBA	'انا حد فلوسي و المويه 620.000	2014-07-21 02:00:23	2014-07-21 09:00:23
31_0c2e8d29-112e-11e4-b281-22000ad2b690	QTR200	ARAB_TQCWEPLPBA	'o	2014-07-21 16:47:59	2014-07-21 23:47:59
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'انت متى نزلت العبه	2014-07-21 02:00:52	2014-07-21 09:00:52
31_dd2b4bc1-10c0-11e4-b281-22000ad2b690	BDER511	ARAB_TQCWEPLPBA	'ooø	2014-07-21 16:54:09	2014-07-21 23:54:09
31_2d38ba46-fcc2-11e3-b281-22000ad2b690	SL6AN	ARAB_TQCWEPLPBA	'اسبوعين تقريباً	2014-07-21 02:01:15	2014-07-21 09:01:15
31_e52170f2-1103-11e4-b281-22000ad2b690	RAYANMAN	ARAB_TQCWEPLPBA	'gvrv 	2014-07-21 17:00:32	2014-07-22 00:00:32
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'من يصوم يوم كامل؟	2014-07-21 02:01:17	2014-07-21 09:01:17
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	ARAB_TQCWEPLPBA	'سلام عليكم	2014-07-21 17:14:40	2014-07-22 00:14:40
31_b588bb77-0b35-11e4-b281-22000ad2b690	خالد ٢٢	ARAB_TQCWEPLPBA	'قد صمت يومين	2014-07-21 02:01:31	2014-07-21 09:01:31
31_c9808e42-fb75-11e3-b281-22000ad2b690	عبدالله عباس	ARAB_TQCWEPLPBA	'و عليكم اسلم	2014-07-21 17:15:30	2014-07-22 00:15:30
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'انا ثلاث اسابيع	2014-07-21 02:01:38	2014-07-21 09:01:38
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	ARAB_TQCWEPLPBA	'اخبارك عبدالله	2014-07-21 17:15:46	2014-07-22 00:15:46
31_10ffcd89-0d85-11e4-b281-22000ad2b690	HHIUIU	ENG_0NJWQKLDVL	'hello	2014-07-20 19:16:59	2014-07-21 02:16:59
28_f950e5e4-ad7a-11e3-99ce-22000ad02fa9	Numb	ENG_PS1A43JEE2	'jjjj	2014-07-21 06:44:40	2014-07-21 13:44:40
28_f950e5e4-ad7a-11e3-99ce-22000ad02fa9	Numb	ENG_PS1A43JEE2	'iiii	2014-07-21 06:44:43	2014-07-21 13:44:43
28_f950e5e4-ad7a-11e3-99ce-22000ad02fa9	Numb	ENG_PS1A43JEE2	'zzz	2014-07-21 06:44:45	2014-07-21 13:44:45
