ServerIp	CCU	CreatedAt (in PT time)
54.75.238.163	2452	2014-09-07 06:49:12
54.75.238.163	1806	2014-09-07 06:56:35
54.75.238.163	2231	2014-09-07 06:59:08
54.75.238.163	2394	2014-09-07 07:01:44
54.75.238.163	2475	2014-09-07 07:04:31
54.75.238.163	2417	2014-09-07 07:07:18
54.75.238.163	2451	2014-09-07 07:10:11
54.75.238.163	2408	2014-09-07 07:14:37
54.75.238.163	2286	2014-09-07 07:19:22
54.75.238.163	2290	2014-09-07 07:23:57
54.75.238.163	2278	2014-09-07 07:27:02
54.75.238.163	2381	2014-09-07 07:29:32
54.75.238.163	2367	2014-09-07 07:32:15
54.75.238.163	2421	2014-09-07 07:34:53
54.75.238.163	2394	2014-09-07 07:37:46
54.75.238.163	2384	2014-09-07 07:40:32
54.75.238.163	2388	2014-09-07 07:45:06
54.75.238.163	1884	2014-09-07 07:51:48
54.75.238.163	2298	2014-09-07 07:54:50
54.75.238.163	2367	2014-09-07 07:57:54
54.75.238.163	2389	2014-09-07 08:00:35
54.75.238.163	2437	2014-09-07 08:03:14
54.75.238.163	2438	2014-09-07 08:06:02
54.75.238.163	2444	2014-09-07 08:10:18
54.75.238.163	2421	2014-09-07 08:13:16
54.75.238.163	2388	2014-09-07 08:16:05
54.75.238.163	2362	2014-09-07 08:19:05
54.75.238.163	2363	2014-09-07 08:21:58
54.75.238.163	1624	2014-09-07 08:28:50
54.75.238.163	2142	2014-09-07 08:31:28
54.75.238.163	2370	2014-09-07 08:34:01
54.75.238.163	2470	2014-09-07 08:36:51
54.75.238.163	2511	2014-09-07 08:39:36
54.75.238.163	2566	2014-09-07 08:42:31
54.75.238.163	2576	2014-09-07 08:45:24
54.75.238.163	2633	2014-09-07 08:50:07
54.75.238.163	2712	2014-09-07 08:53:08
54.75.238.163	2635	2014-09-07 08:58:10
54.75.238.163	2694	2014-09-07 09:01:27
54.75.238.163	2703	2014-09-07 09:04:03
54.75.238.163	2735	2014-09-07 09:06:53
54.75.238.163	2706	2014-09-07 09:09:38
54.75.238.163	2701	2014-09-07 09:12:35
54.75.238.163	2738	2014-09-07 09:15:29
54.75.238.163	2745	2014-09-07 09:18:30
54.75.238.163	2738	2014-09-07 09:21:27
54.75.238.163	2802	2014-09-07 09:24:34
54.75.238.163	2815	2014-09-07 09:27:36
54.75.238.163	2811	2014-09-07 09:30:47
54.75.238.163	2802	2014-09-07 09:33:56
54.75.238.163	2823	2014-09-07 09:36:42
54.75.238.163	2858	2014-09-07 09:39:21
54.75.238.163	2857	2014-09-07 09:42:15
54.75.238.163	2815	2014-09-07 09:45:03
54.75.238.163	2815	2014-09-07 09:48:02
