userId,DiwanLevel,GameLevel,Coins,Water,Oil,Pearls,Daggers,Status,transactionId,purchasedPearls,purchasedItemId,paidAmount,paidAmountUSD,PaidAmount70%,currency,DeviceInfo,Device,country,installAt,Receipt,createdAt (PDT),createdAt (UTC),Time Diffirent CreateAt and InstallAt
31_babe2526-522f-11e4-975d-22000a4a0686,9,61,11516,742470,5324,34,931,Valid,250000098785801,8125,ba.lum.tribalrivals.pearls.large.ar,184.99,49.29,34.503,SAR,"{""deviceModel"":""iPhone6,2"",""deviceName"":""hane iPhone"",""deviceType"":""Handheld""}","iPhone 5s (model A1457, A1518, A1528 (China), A1530 | Global)",SA,2014-10-12 10:49:27 +0100 PDT,"{""receipt"":{""original_purchase_date_pst"":""2015-01-13 22:11:35 America/Los_Angeles"", ""unique_identifier"":""838e5ef4fecf2f06494055aeb9eebf774e341481"", ""original_transaction_id"":""250000098785801"", ""bvrs"":""1.9.33"", ""app_item_id"":""793770655"", ""transaction_id"":""250000098785801"", ""quantity"":""1"", ""unique_vendor_identifier"":""53901F45-5513-4F92-8CE5-775308ECB078"", ""product_id"":""ba.lum.tribalrivals.pearls.large.ar"", ""item_id"":""808200706"", ""version_external_identifier"":""811422411"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1421215895885"", ""purchase_date"":""2015-01-14 06:11:35 Etc/GMT"", ""purchase_date_pst"":""2015-01-13 22:11:35 America/Los_Angeles"", ""original_purchase_date"":""2015-01-14 06:11:35 Etc/GMT"", ""original_purchase_date_ms"":""1421215895885""}, ""status"":0}",2015-01-14 00:11:40 +0000 PDT,2015-01-14 06:11:40 +0000 UTC,93:13:22:13 (dd:hh:mm:ss)
31_140b8549-785c-11e4-ad9b-22000a4a0686,8,40,28432,509915,1024,2,466,Valid,300000068747579,3125,ba.lum.tribalrivals.pearls.medium.ar,19.99,19.99,13.992999999999999,USD,"{""deviceModel"":""iPhone7,2"",""deviceName"":""iPhone"",""deviceType"":""Handheld""}","",US,2014-11-30 00:42:39 +0000 PDT,"{""receipt"":{""original_purchase_date_pst"":""2015-01-13 22:11:35 America/Los_Angeles"", ""unique_identifier"":""acdaf332804dbb0721a0b3745a2238e1d49c8b88"", ""original_transaction_id"":""300000068747579"", ""bvrs"":""1.9.33"", ""app_item_id"":""793770655"", ""transaction_id"":""300000068747579"", ""quantity"":""1"", ""unique_vendor_identifier"":""976FB6B0-9DC1-4396-8C04-843F99548394"", ""product_id"":""ba.lum.tribalrivals.pearls.medium.ar"", ""item_id"":""808200612"", ""version_external_identifier"":""811422411"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1421215895247"", ""purchase_date"":""2015-01-14 06:11:35 Etc/GMT"", ""purchase_date_pst"":""2015-01-13 22:11:35 America/Los_Angeles"", ""original_purchase_date"":""2015-01-14 06:11:35 Etc/GMT"", ""original_purchase_date_ms"":""1421215895247""}, ""status"":0}",2015-01-14 00:11:40 +0000 PDT,2015-01-14 06:11:40 +0000 UTC,44:23:29:1 (dd:hh:mm:ss)
31_d40d61df-39b4-11e4-8fdc-22000a4a0686,9,82,10001250,9715065,11780,12,1436,Valid,200000166306615,1500,ba.lum.tribalrivals.pearls.small.ar,36.99,9.86,6.901999999999999,SAR,"{""deviceModel"":""iPhone6,1"",""deviceName"":""‏iPhone الخاص بـ ممدوح"",""deviceType"":""Handheld""}","iPhone 5s (model A1433, A1533 | GSM)",SA,2014-09-11 07:09:14 +0100 PDT,"{""receipt"":{""original_purchase_date_pst"":""2015-01-13 22:12:19 America/Los_Angeles"", ""unique_identifier"":""ab0373607e9a7a9fec052c8d19c9e8b827849967"", ""original_transaction_id"":""200000166306615"", ""bvrs"":""1.9.33"", ""app_item_id"":""793770655"", ""transaction_id"":""200000166306615"", ""quantity"":""1"", ""unique_vendor_identifier"":""32DC3AE7-9D3B-41D7-8DE0-D91459C6F0CC"", ""product_id"":""ba.lum.tribalrivals.pearls.small.ar"", ""item_id"":""808200600"", ""version_external_identifier"":""811422411"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1421215939602"", ""purchase_date"":""2015-01-14 06:12:19 Etc/GMT"", ""purchase_date_pst"":""2015-01-13 22:12:19 America/Los_Angeles"", ""original_purchase_date"":""2015-01-14 06:12:19 Etc/GMT"", ""original_purchase_date_ms"":""1421215939602""}, ""status"":0}",2015-01-14 00:12:57 +0000 PDT,2015-01-14 06:12:57 +0000 UTC,124:17:3:43 (dd:hh:mm:ss)
31_fbfc4a69-9996-11e4-ad9b-22000a4a0686,2,5,1395,5507,0,306,0,Valid,390000055614452,625,ba.lum.tribalrivals.pearls.xsmall.ar,4.99,4.99,3.493,USD,"{""deviceModel"":""iPhone6,1"",""deviceName"":""Faisal123"",""deviceType"":""Handheld""}","iPhone 5s (model A1433, A1533 | GSM)",QA,2015-01-11 07:37:27 +0000 PDT,"{""receipt"":{""original_purchase_date_pst"":""2015-01-13 22:13:24 America/Los_Angeles"", ""unique_identifier"":""81406e7e1f5f490ce2f6751c7279bb27e7718f1c"", ""original_transaction_id"":""390000055614452"", ""bvrs"":""1.9.33"", ""app_item_id"":""793770655"", ""transaction_id"":""390000055614452"", ""quantity"":""1"", ""unique_vendor_identifier"":""462EE7E3-A3F1-4BB0-A3B9-402901F369D4"", ""product_id"":""ba.lum.tribalrivals.pearls.xsmall.ar"", ""item_id"":""808200592"", ""version_external_identifier"":""811422411"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1421216004902"", ""purchase_date"":""2015-01-14 06:13:24 Etc/GMT"", ""purchase_date_pst"":""2015-01-13 22:13:24 America/Los_Angeles"", ""original_purchase_date"":""2015-01-14 06:13:24 Etc/GMT"", ""original_purchase_date_ms"":""1421216004902""}, ""status"":0}",2015-01-14 00:13:30 +0000 PDT,2015-01-14 06:13:30 +0000 UTC,2:16:36:3 (dd:hh:mm:ss)
31_621a0584-93e6-11e4-ad9b-22000a4a0686,4,15,59604,30356,0,0,0,Valid,100000133870248,1500,ba.lum.tribalrivals.pearls.small.ar,9.99,9.99,6.992999999999999,USD,"{""deviceModel"":""iPhone7,1"",""deviceName"":""Mohammed's iPhone"",""deviceType"":""Handheld""}","",JO,2015-01-04 01:50:42 +0000 PDT,"{""receipt"":{""original_purchase_date_pst"":""2015-01-13 22:17:22 America/Los_Angeles"", ""unique_identifier"":""dfdcb2b93d332882b4b1b90bd474e1c850cefb96"", ""original_transaction_id"":""100000133870248"", ""bvrs"":""1.9.33"", ""app_item_id"":""793770655"", ""transaction_id"":""100000133870248"", ""quantity"":""1"", ""unique_vendor_identifier"":""5BFEC228-4062-4534-AF82-C79F4BB37849"", ""product_id"":""ba.lum.tribalrivals.pearls.small.ar"", ""item_id"":""808200600"", ""version_external_identifier"":""811422411"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1421216242000"", ""purchase_date"":""2015-01-14 06:17:22 Etc/GMT"", ""purchase_date_pst"":""2015-01-13 22:17:22 America/Los_Angeles"", ""original_purchase_date"":""2015-01-14 06:17:22 Etc/GMT"", ""original_purchase_date_ms"":""1421216242000""}, ""status"":0}",2015-01-14 00:17:53 +0000 PDT,2015-01-14 06:17:53 +0000 UTC,9:22:27:11 (dd:hh:mm:ss)
31_803ae092-2075-11e4-ad8e-22000a4a0686,2,6,16,2,0,0,0,Valid,560000074407149,625,ba.lum.tribalrivals.pearls.xsmall.ar,17.99,4.79,3.3529999999999998,SAR,"{""deviceModel"":""iPhone6,2"",""deviceName"":""Mohammed xd"",""deviceType"":""Handheld""}","iPhone 5s (model A1457, A1518, A1528 (China), A1530 | Global)",GB,2014-08-10 04:02:56 +0100 PDT,"{""receipt"":{""original_purchase_date_pst"":""2015-01-13 22:24:00 America/Los_Angeles"", ""unique_identifier"":""87b43436d08b7f1682ca29338d15b135d8232031"", ""original_transaction_id"":""560000074407149"", ""bvrs"":""1.9.33"", ""app_item_id"":""793770655"", ""transaction_id"":""560000074407149"", ""quantity"":""1"", ""unique_vendor_identifier"":""C44260BA-0885-4358-9063-30DA32B69DF5"", ""product_id"":""ba.lum.tribalrivals.pearls.xsmall.ar"", ""item_id"":""808200592"", ""version_external_identifier"":""811422411"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1421216640605"", ""purchase_date"":""2015-01-14 06:24:00 Etc/GMT"", ""purchase_date_pst"":""2015-01-13 22:24:00 America/Los_Angeles"", ""original_purchase_date"":""2015-01-14 06:24:00 Etc/GMT"", ""original_purchase_date_ms"":""1421216640605""}, ""status"":0}",2015-01-14 00:24:04 +0000 PDT,2015-01-14 06:24:04 +0000 UTC,156:20:21:8 (dd:hh:mm:ss)
31_54b5b92b-4bbc-11e4-975d-22000a4a0686,9,88,17956,51458,14939,0,2643,Valid,170000159728471,1500,ba.lum.tribalrivals.pearls.small.ar,9.99,9.99,6.992999999999999,USD,"{""deviceModel"":""iPhone6,1"",""deviceName"":""a’s iPhone"",""deviceType"":""Handheld""}","iPhone 5s (model A1433, A1533 | GSM)",QA,2014-10-04 05:48:17 +0100 PDT,"{""receipt"":{""original_purchase_date_pst"":""2015-01-13 22:37:39 America/Los_Angeles"", ""unique_identifier"":""b00c7d9e9ac16265a9ce3f477d74a52c0f7f3832"", ""original_transaction_id"":""170000159728471"", ""bvrs"":""1.9.33"", ""app_item_id"":""793770655"", ""transaction_id"":""170000159728471"", ""quantity"":""1"", ""unique_vendor_identifier"":""EFA02831-D031-4837-9857-8D36828A6665"", ""product_id"":""ba.lum.tribalrivals.pearls.small.ar"", ""item_id"":""808200600"", ""version_external_identifier"":""811422411"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1421217459664"", ""purchase_date"":""2015-01-14 06:37:39 Etc/GMT"", ""purchase_date_pst"":""2015-01-13 22:37:39 America/Los_Angeles"", ""original_purchase_date"":""2015-01-14 06:37:39 Etc/GMT"", ""original_purchase_date_ms"":""1421217459664""}, ""status"":0}",2015-01-14 00:37:44 +0000 PDT,2015-01-14 06:37:44 +0000 UTC,101:18:49:27 (dd:hh:mm:ss)
31_2f35e890-9982-11e4-ad9b-22000a4a0686,9,42,15209,0,37,47,0,Valid,710000084604148,8125,ba.lum.tribalrivals.pearls.large.ar,184.99,49.29,34.503,SAR,"{""deviceModel"":""iPhone6,2"",""deviceName"":""‏iPhone الخاص بـ Ibrahim"",""deviceType"":""Handheld""}","iPhone 5s (model A1457, A1518, A1528 (China), A1530 | Global)",SA,2015-01-11 05:08:34 +0000 PDT,"{""receipt"":{""original_purchase_date_pst"":""2015-01-13 22:37:51 America/Los_Angeles"", ""unique_identifier"":""63dcceadfbdf3bb390035f27417a036f17d048a2"", ""original_transaction_id"":""710000084604148"", ""bvrs"":""1.9.33"", ""app_item_id"":""793770655"", ""transaction_id"":""710000084604148"", ""quantity"":""1"", ""unique_vendor_identifier"":""326FE6AD-DA39-4757-AE81-68F91862977D"", ""product_id"":""ba.lum.tribalrivals.pearls.large.ar"", ""item_id"":""808200706"", ""version_external_identifier"":""811422411"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1421217471208"", ""purchase_date"":""2015-01-14 06:37:51 Etc/GMT"", ""purchase_date_pst"":""2015-01-13 22:37:51 America/Los_Angeles"", ""original_purchase_date"":""2015-01-14 06:37:51 Etc/GMT"", ""original_purchase_date_ms"":""1421217471208""}, ""status"":0}",2015-01-14 00:37:56 +0000 PDT,2015-01-14 06:37:56 +0000 UTC,2:19:29:22 (dd:hh:mm:ss)
31_06dee3f8-6d97-11e4-ad9b-22000a4a0686,9,51,1104223,730881,6776,0,469,Valid,440000132371841,1500,ba.lum.tribalrivals.pearls.small.ar,9.99,9.99,6.992999999999999,USD,"{""deviceModel"":""iPhone7,1"",""deviceName"":""iPhone"",""deviceType"":""Handheld""}","",OM,2014-11-16 07:46:55 +0000 PDT,"{""receipt"":{""original_purchase_date_pst"":""2015-01-13 22:40:05 America/Los_Angeles"", ""unique_identifier"":""0827dabbdb28871145f1ee35c0f7355de9d29075"", ""original_transaction_id"":""440000132371841"", ""bvrs"":""1.9.33"", ""app_item_id"":""793770655"", ""transaction_id"":""440000132371841"", ""quantity"":""1"", ""unique_vendor_identifier"":""95845FCD-63DA-45F4-8161-94F891DFAF40"", ""product_id"":""ba.lum.tribalrivals.pearls.small.ar"", ""item_id"":""808200600"", ""version_external_identifier"":""811422411"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1421217605789"", ""purchase_date"":""2015-01-14 06:40:05 Etc/GMT"", ""purchase_date_pst"":""2015-01-13 22:40:05 America/Los_Angeles"", ""original_purchase_date"":""2015-01-14 06:40:05 Etc/GMT"", ""original_purchase_date_ms"":""1421217605789""}, ""status"":0}",2015-01-14 00:40:11 +0000 PDT,2015-01-14 06:40:11 +0000 UTC,58:16:53:16 (dd:hh:mm:ss)
31_cfe95573-536c-11e4-975d-22000a4a0686,9,61,828821,194202,12465,3,1920,Valid,20000166354185,1500,ba.lum.tribalrivals.pearls.small.ar,9.99,9.99,6.992999999999999,USD,"{""deviceModel"":""iPhone6,1"",""deviceName"":""iPhone"",""deviceType"":""Handheld""}","iPhone 5s (model A1433, A1533 | GSM)",US,2014-10-14 00:39:13 +0100 PDT,"{""receipt"":{""original_purchase_date_pst"":""2015-01-13 22:46:38 America/Los_Angeles"", ""unique_identifier"":""d59e100cff2f4501eb8fb6d0d8b84da3301753a6"", ""original_transaction_id"":""20000166354185"", ""bvrs"":""1.9.33"", ""app_item_id"":""793770655"", ""transaction_id"":""20000166354185"", ""quantity"":""1"", ""unique_vendor_identifier"":""36212AB5-4C54-4673-A225-62CD029694F9"", ""product_id"":""ba.lum.tribalrivals.pearls.small.ar"", ""item_id"":""808200600"", ""version_external_identifier"":""811422411"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1421217998141"", ""purchase_date"":""2015-01-14 06:46:38 Etc/GMT"", ""purchase_date_pst"":""2015-01-13 22:46:38 America/Los_Angeles"", ""original_purchase_date"":""2015-01-14 06:46:38 Etc/GMT"", ""original_purchase_date_ms"":""1421217998141""}, ""status"":0}",2015-01-14 00:46:41 +0000 PDT,2015-01-14 06:46:41 +0000 UTC,92:0:7:28 (dd:hh:mm:ss)
