userId,DiwanLevel,GameLevel,Coins,Water,Oil,Pearls,Daggers,Status,transactionId,purchasedPearls,purchasedItemId,paidAmount,paidAmountUSD,PaidAmount70%,currency,DeviceInfo,Device,country,installAt,Receipt,createdAt (PDT),createdAt (UTC),Time Diffirent CreateAt and InstallAt
31_37c15903-2c37-11e4-90c0-22000a4a0686,4,15,556,2004,0,20,0,Product not in the list,9B8C0975-6C7B-4B4C-9B75-B1CB24C703EF,0,ba.lum.tribalrivals.pearls.xlarge.ar,369.99,98.56,68.99199999999999,SAR,"{""deviceModel"":""iPhone7,2"",""deviceName"":""Mohammed's iPhone"",""deviceType"":""Handheld""}","",SA,2014-08-25 02:07:19 +0700 PDT,"{""receipt"":{""original_purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""purchase_date_ms"":""1342097675882"", ""original_transaction_id"":""170000029449420"", ""original_purchase_date_ms"":""1342097675882"", ""app_item_id"":""450542233"", ""transaction_id"":""170000029449420"", ""quantity"":""1"", ""bvrs"":""1.4"", ""version_external_identifier"":""9051236"", ""bid"":""com.zeptolab.ctrexperiments"", ""product_id"":""com.zeptolab.ctrbonus.superpower1"", ""purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""original_purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""item_id"":""534185042""}, ""status"":0}",2014-12-31 11:00:27 +0700 PDT,2014-12-31 18:00:27 +0700 UTC,128:8:53:8 (dd:hh:mm:ss)
31_9f688135-5b9c-11e4-ad9b-22000a4a0686,9,65,85197,370,18423,2,1476,Valid,270000120847756,625,ba.lum.tribalrivals.pearls.xsmall.ar,17.99,4.79,3.3529999999999998,SAR,"{""deviceModel"":""iPhone7,1"",""deviceName"":""‏iPhone الخاص بـ saud"",""deviceType"":""Handheld""}","",SA,2014-10-24 09:41:37 +0700 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-12-31 10:00:24 America/Los_Angeles"", ""unique_identifier"":""a2466c59d7fcfab663863916c4e4ab37aea4fbe8"", ""original_transaction_id"":""270000120847756"", ""bvrs"":""1.9.33"", ""app_item_id"":""793770655"", ""transaction_id"":""270000120847756"", ""quantity"":""1"", ""unique_vendor_identifier"":""D4201FEF-0295-4C78-A48C-E82AE6E51A60"", ""product_id"":""ba.lum.tribalrivals.pearls.xsmall.ar"", ""item_id"":""808200592"", ""version_external_identifier"":""811422411"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1420048824812"", ""purchase_date"":""2014-12-31 18:00:24 Etc/GMT"", ""purchase_date_pst"":""2014-12-31 10:00:24 America/Los_Angeles"", ""original_purchase_date"":""2014-12-31 18:00:24 Etc/GMT"", ""original_purchase_date_ms"":""1420048824812""}, ""status"":0}",2014-12-31 11:00:28 +0700 PDT,2014-12-31 18:00:28 +0700 UTC,68:1:18:51 (dd:hh:mm:ss)
31_0f139493-2648-11e4-90c0-22000a4a0686,9,60,1801880,8434305,26112,24,688,Product not in the list,ba.lum.tribalrivals.pearls.large.ar1420048808409,0,ba.lum.tribalrivals.pearls.large.ar,49.99,49.99,34.993,USD,"{""deviceModel"":""iPhone4,1"",""deviceName"":""iPhone"",""deviceType"":""Handheld""}",iPhone 4S,JO,2014-08-17 12:52:46 +0700 PDT,"{""receipt"":{""original_purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""purchase_date_ms"":""1342097675882"", ""original_transaction_id"":""170000029449420"", ""original_purchase_date_ms"":""1342097675882"", ""app_item_id"":""450542233"", ""transaction_id"":""170000029449420"", ""quantity"":""1"", ""bvrs"":""1.4"", ""version_external_identifier"":""9051236"", ""bid"":""com.zeptolab.ctrexperiments"", ""product_id"":""com.zeptolab.ctrbonus.superpower1"", ""purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""original_purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""item_id"":""534185042""}, ""status"":0}",2014-12-31 11:00:31 +0700 PDT,2014-12-31 18:00:31 +0700 UTC,135:22:7:45 (dd:hh:mm:ss)
31_9f688135-5b9c-11e4-ad9b-22000a4a0686,9,65,85197,370,18423,627,1476,Valid,270000120847774,1500,ba.lum.tribalrivals.pearls.small.ar,36.99,9.85,6.895,SAR,"{""deviceModel"":""iPhone7,1"",""deviceName"":""‏iPhone الخاص بـ saud"",""deviceType"":""Handheld""}","",SA,2014-10-24 09:41:37 +0700 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-12-31 10:00:37 America/Los_Angeles"", ""unique_identifier"":""a2466c59d7fcfab663863916c4e4ab37aea4fbe8"", ""original_transaction_id"":""270000120847774"", ""bvrs"":""1.9.33"", ""app_item_id"":""793770655"", ""transaction_id"":""270000120847774"", ""quantity"":""1"", ""unique_vendor_identifier"":""D4201FEF-0295-4C78-A48C-E82AE6E51A60"", ""product_id"":""ba.lum.tribalrivals.pearls.small.ar"", ""item_id"":""808200600"", ""version_external_identifier"":""811422411"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1420048837908"", ""purchase_date"":""2014-12-31 18:00:37 Etc/GMT"", ""purchase_date_pst"":""2014-12-31 10:00:37 America/Los_Angeles"", ""original_purchase_date"":""2014-12-31 18:00:37 Etc/GMT"", ""original_purchase_date_ms"":""1420048837908""}, ""status"":0}",2014-12-31 11:00:42 +0700 PDT,2014-12-31 18:00:42 +0700 UTC,68:1:19:5 (dd:hh:mm:ss)
31_0f139493-2648-11e4-90c0-22000a4a0686,9,60,1801880,8434305,26112,24,688,Product not in the list,ba.lum.tribalrivals.pearls.medium.ar1420048838637,0,ba.lum.tribalrivals.pearls.medium.ar,19.99,19.99,13.992999999999999,USD,"{""deviceModel"":""iPhone4,1"",""deviceName"":""iPhone"",""deviceType"":""Handheld""}",iPhone 4S,JO,2014-08-17 12:52:46 +0700 PDT,"{""receipt"":{""original_purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""purchase_date_ms"":""1342097675882"", ""original_transaction_id"":""170000029449420"", ""original_purchase_date_ms"":""1342097675882"", ""app_item_id"":""450542233"", ""transaction_id"":""170000029449420"", ""quantity"":""1"", ""bvrs"":""1.4"", ""version_external_identifier"":""9051236"", ""bid"":""com.zeptolab.ctrexperiments"", ""product_id"":""com.zeptolab.ctrbonus.superpower1"", ""purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""original_purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""item_id"":""534185042""}, ""status"":0}",2014-12-31 11:00:42 +0700 PDT,2014-12-31 18:00:42 +0700 UTC,135:22:7:56 (dd:hh:mm:ss)
31_0f139493-2648-11e4-90c0-22000a4a0686,9,60,1801880,8434305,26112,24,688,Product not in the list,ba.lum.tribalrivals.pearls.small.ar1420048847835,0,ba.lum.tribalrivals.pearls.small.ar,9.99,9.99,6.992999999999999,USD,"{""deviceModel"":""iPhone4,1"",""deviceName"":""iPhone"",""deviceType"":""Handheld""}",iPhone 4S,JO,2014-08-17 12:52:46 +0700 PDT,"{""receipt"":{""original_purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""purchase_date_ms"":""1342097675882"", ""original_transaction_id"":""170000029449420"", ""original_purchase_date_ms"":""1342097675882"", ""app_item_id"":""450542233"", ""transaction_id"":""170000029449420"", ""quantity"":""1"", ""bvrs"":""1.4"", ""version_external_identifier"":""9051236"", ""bid"":""com.zeptolab.ctrexperiments"", ""product_id"":""com.zeptolab.ctrbonus.superpower1"", ""purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""original_purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""item_id"":""534185042""}, ""status"":0}",2014-12-31 11:00:53 +0700 PDT,2014-12-31 18:00:53 +0700 UTC,135:22:8:7 (dd:hh:mm:ss)
31_9f688135-5b9c-11e4-ad9b-22000a4a0686,9,65,85197,370,18423,2127,1476,Valid,270000120847795,1500,ba.lum.tribalrivals.pearls.small.ar,36.99,9.85,6.895,SAR,"{""deviceModel"":""iPhone7,1"",""deviceName"":""‏iPhone الخاص بـ saud"",""deviceType"":""Handheld""}","",SA,2014-10-24 09:41:37 +0700 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-12-31 10:00:55 America/Los_Angeles"", ""unique_identifier"":""a2466c59d7fcfab663863916c4e4ab37aea4fbe8"", ""original_transaction_id"":""270000120847795"", ""bvrs"":""1.9.33"", ""app_item_id"":""793770655"", ""transaction_id"":""270000120847795"", ""quantity"":""1"", ""unique_vendor_identifier"":""D4201FEF-0295-4C78-A48C-E82AE6E51A60"", ""product_id"":""ba.lum.tribalrivals.pearls.small.ar"", ""item_id"":""808200600"", ""version_external_identifier"":""811422411"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1420048855283"", ""purchase_date"":""2014-12-31 18:00:55 Etc/GMT"", ""purchase_date_pst"":""2014-12-31 10:00:55 America/Los_Angeles"", ""original_purchase_date"":""2014-12-31 18:00:55 Etc/GMT"", ""original_purchase_date_ms"":""1420048855283""}, ""status"":0}",2014-12-31 11:00:59 +0700 PDT,2014-12-31 18:00:59 +0700 UTC,68:1:19:22 (dd:hh:mm:ss)
31_0f139493-2648-11e4-90c0-22000a4a0686,9,60,1801880,8434305,26112,24,688,Product not in the list,ba.lum.tribalrivals.pearls.small.ar1420048856012,0,ba.lum.tribalrivals.pearls.small.ar,9.99,9.99,6.992999999999999,USD,"{""deviceModel"":""iPhone4,1"",""deviceName"":""iPhone"",""deviceType"":""Handheld""}",iPhone 4S,JO,2014-08-17 12:52:46 +0700 PDT,"{""receipt"":{""original_purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""purchase_date_ms"":""1342097675882"", ""original_transaction_id"":""170000029449420"", ""original_purchase_date_ms"":""1342097675882"", ""app_item_id"":""450542233"", ""transaction_id"":""170000029449420"", ""quantity"":""1"", ""bvrs"":""1.4"", ""version_external_identifier"":""9051236"", ""bid"":""com.zeptolab.ctrexperiments"", ""product_id"":""com.zeptolab.ctrbonus.superpower1"", ""purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""original_purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""item_id"":""534185042""}, ""status"":0}",2014-12-31 11:01:01 +0700 PDT,2014-12-31 18:01:01 +0700 UTC,135:22:8:15 (dd:hh:mm:ss)
31_b4596b9b-8de6-11e4-ad9b-22000a4a0686,3,6,221,874,0,6,0,Product not in the list,886334B0-246C-47D2-8585-FEE5F228C6C0,0,ba.lum.tribalrivals.pearls.xlarge.ar,99.99,99.99,69.993,USD,"{""deviceModel"":""iPad4,1"",""deviceName"":""‏iPad الخاص بـ عبدالرحمن"",""deviceType"":""Handheld""}",5th Generation iPad (iPad Air) - Wifi,SA,2014-12-27 09:37:53 +0700 PDT,"{""receipt"":{""original_purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""purchase_date_ms"":""1342097675882"", ""original_transaction_id"":""170000029449420"", ""original_purchase_date_ms"":""1342097675882"", ""app_item_id"":""450542233"", ""transaction_id"":""170000029449420"", ""quantity"":""1"", ""bvrs"":""1.4"", ""version_external_identifier"":""9051236"", ""bid"":""com.zeptolab.ctrexperiments"", ""product_id"":""com.zeptolab.ctrbonus.superpower1"", ""purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""original_purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""item_id"":""534185042""}, ""status"":0}",2014-12-31 11:01:24 +0700 PDT,2014-12-31 18:01:24 +0700 UTC,4:1:23:31 (dd:hh:mm:ss)
31_3d3d5f5a-7e55-11e4-ad9b-22000a4a0686,4,16,69531,2257,0,1,137,Valid,350000072866069,3125,ba.lum.tribalrivals.pearls.medium.ar,19.99,19.99,13.992999999999999,USD,"{""deviceModel"":""iPhone7,2"",""deviceName"":""Abood"",""deviceType"":""Handheld""}","",KW,2014-12-07 14:08:49 +0700 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-12-31 10:01:26 America/Los_Angeles"", ""unique_identifier"":""686fc89e12b1827f4f2f4fb16c954e61f5fe6867"", ""original_transaction_id"":""350000072866069"", ""bvrs"":""1.9.33"", ""app_item_id"":""793770655"", ""transaction_id"":""350000072866069"", ""quantity"":""1"", ""unique_vendor_identifier"":""05EF5162-8464-4014-8E73-CD01F2192D8C"", ""product_id"":""ba.lum.tribalrivals.pearls.medium.ar"", ""item_id"":""808200612"", ""version_external_identifier"":""811422411"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1420048886714"", ""purchase_date"":""2014-12-31 18:01:26 Etc/GMT"", ""purchase_date_pst"":""2014-12-31 10:01:26 America/Los_Angeles"", ""original_purchase_date"":""2014-12-31 18:01:26 Etc/GMT"", ""original_purchase_date_ms"":""1420048886714""}, ""status"":0}",2014-12-31 11:01:35 +0700 PDT,2014-12-31 18:01:35 +0700 UTC,23:20:52:46 (dd:hh:mm:ss)
