userId,DiwanLevel,GameLevel,Coins,Water,Oil,Pearls,Daggers,Status,transactionId,purchasedPearls,purchasedItemId,paidAmount,paidAmountUSD,PaidAmount70%,currency,DeviceInfo,Device,country,installAt,Receipt,createdAt (PDT),createdAt (UTC),Time Diffirent CreateAt and InstallAt
31_e7ff9471-23d7-11e4-ad8e-22000a4a0686,6,46,434411,956811,0,15,524,Valid,140000111504501,625,ba.lum.tribalrivals.pearls.xsmall.ar,4.99,4.99,3.493,USD,"{""deviceModel"":""iPad4,2"",""deviceName"":""Ali's iPad"",""deviceType"":""Handheld""}",5th Generation iPad (iPad Air) - Cellular,KW,2014-08-14 10:24:54 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 14:17:26 America/Los_Angeles"", ""unique_identifier"":""0b47bb1a5a493e7db28683967aedade53b95cc0a"", ""original_transaction_id"":""140000111504501"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""140000111504501"", ""quantity"":""1"", ""unique_vendor_identifier"":""7F80DE80-D194-4679-A4DA-FC12A366B6D5"", ""product_id"":""ba.lum.tribalrivals.pearls.xsmall.ar"", ""item_id"":""808200592"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414271846000"", ""purchase_date"":""2014-10-25 21:17:26 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 14:17:26 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 21:17:26 Etc/GMT"", ""original_purchase_date_ms"":""1414271846000""}, ""status"":0}",2014-10-25 14:17:35 -0400 PDT,2014-10-25 21:17:35 -0400 UTC,72:3:52:41 (dd:hh:mm:ss)
31_e7ff9471-23d7-11e4-ad8e-22000a4a0686,6,46,434411,956811,0,640,524,Duplicate,140000111504501,0,ba.lum.tribalrivals.pearls.xsmall.ar,4.99,0.0,0.0,USD,"{""deviceModel"":""iPad4,2"",""deviceName"":""Ali's iPad"",""deviceType"":""Handheld""}",5th Generation iPad (iPad Air) - Cellular,KW,2014-08-14 10:24:54 -0400 PDT,"",2014-10-25 14:17:55 -0400 PDT,2014-10-25 21:17:55 -0400 UTC,72:3:53:1 (dd:hh:mm:ss)
31_7e2522f2-5c5a-11e4-ad9b-22000a4a0686,2,3,1686,979,0,302,48,Product not in the list,53E12C55-09FF-4F01-8359-60432119385A,0,ba.lum.tribalrivals.pearls.xlarge.ar,369.99,98.62,69.03399999999999,SAR,"{""deviceModel"":""iPhone5,2"",""deviceName"":""ايفون ٥"",""deviceType"":""Handheld""}","iPhone 5 (model A1429, everything else)",SA,2014-10-25 08:20:46 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""purchase_date_ms"":""1342097675882"", ""original_transaction_id"":""170000029449420"", ""original_purchase_date_ms"":""1342097675882"", ""app_item_id"":""450542233"", ""transaction_id"":""170000029449420"", ""quantity"":""1"", ""bvrs"":""1.4"", ""version_external_identifier"":""9051236"", ""bid"":""com.zeptolab.ctrexperiments"", ""product_id"":""com.zeptolab.ctrbonus.superpower1"", ""purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""original_purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""item_id"":""534185042""}, ""status"":0}",2014-10-25 14:18:57 -0400 PDT,2014-10-25 21:18:57 -0400 UTC,0:5:58:11 (dd:hh:mm:ss)
31_9610b4c7-5c74-11e4-ad9b-22000a4a0686,2,3,2551,649,0,305,0,Product not in the list,A17519E2-4455-441F-B92F-B0C9E02987DD,0,ba.lum.tribalrivals.pearls.xlarge.ar,69.99,112.61,78.827,GBP,"{""deviceModel"":""iPhone5,2"",""deviceName"":""‏ iPhone الخاص بـالرسالة"",""deviceType"":""Handheld""}","iPhone 5 (model A1429, everything else)",SA,2014-10-25 11:27:33 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""purchase_date_ms"":""1342097675882"", ""original_transaction_id"":""170000029449420"", ""original_purchase_date_ms"":""1342097675882"", ""app_item_id"":""450542233"", ""transaction_id"":""170000029449420"", ""quantity"":""1"", ""bvrs"":""1.4"", ""version_external_identifier"":""9051236"", ""bid"":""com.zeptolab.ctrexperiments"", ""product_id"":""com.zeptolab.ctrbonus.superpower1"", ""purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""purchase_date_pst"":""2012-07-12 05:54:35 America/Los_Angeles"", ""original_purchase_date"":""2012-07-12 12:54:35 Etc/GMT"", ""item_id"":""534185042""}, ""status"":0}",2014-10-25 14:20:10 -0400 PDT,2014-10-25 21:20:10 -0400 UTC,0:2:52:37 (dd:hh:mm:ss)
31_263e52a1-4800-11e4-997a-22000a4a0686,9,52,144976,270802,5952,2,1236,Valid,730000045240997,8125,ba.lum.tribalrivals.pearls.large.ar,49.99,49.99,34.993,USD,"{""deviceModel"":""iPhone5,2"",""deviceName"":""نايف المطيري"",""deviceType"":""Handheld""}","iPhone 5 (model A1429, everything else)",KW,2014-09-29 10:43:40 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 14:17:55 America/Los_Angeles"", ""unique_identifier"":""5b47a900b64a3ee8325a230700fea67195cea3f8"", ""original_transaction_id"":""730000045240997"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""730000045240997"", ""quantity"":""1"", ""unique_vendor_identifier"":""ECE94639-8922-47F5-A488-BBAF3735E409"", ""product_id"":""ba.lum.tribalrivals.pearls.large.ar"", ""item_id"":""808200706"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414271875000"", ""purchase_date"":""2014-10-25 21:17:55 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 14:17:55 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 21:17:55 Etc/GMT"", ""original_purchase_date_ms"":""1414271875000""}, ""status"":0}",2014-10-25 14:20:23 -0400 PDT,2014-10-25 21:20:23 -0400 UTC,26:3:36:43 (dd:hh:mm:ss)
31_a1974364-2a4e-11e4-90c0-22000a4a0686,8,51,500011,488873,0,67,1108,Valid,400000113748576,625,ba.lum.tribalrivals.pearls.xsmall.ar,17.99,4.8,3.36,SAR,"{""deviceModel"":""iPad2,7"",""deviceName"":""iPad"",""deviceType"":""Handheld""}",iPad Mini (GSM+CDMA),SA,2014-08-22 15:49:53 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 14:21:46 America/Los_Angeles"", ""unique_identifier"":""293d2b679114b9e1f2852d4d514af6b39f1f2a93"", ""original_transaction_id"":""400000113748576"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""400000113748576"", ""quantity"":""1"", ""unique_vendor_identifier"":""3D46D081-5336-49C1-84A4-855294F57FB0"", ""product_id"":""ba.lum.tribalrivals.pearls.xsmall.ar"", ""item_id"":""808200592"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414272106117"", ""purchase_date"":""2014-10-25 21:21:46 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 14:21:46 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 21:21:46 Etc/GMT"", ""original_purchase_date_ms"":""1414272106117""}, ""status"":0}",2014-10-25 14:22:06 -0400 PDT,2014-10-25 21:22:06 -0400 UTC,63:22:32:13 (dd:hh:mm:ss)
31_6e2b5084-57c7-11e4-975d-22000a4a0686,4,15,63504,14464,0,760,0,Valid,440000118324341,1500,ba.lum.tribalrivals.pearls.small.ar,9.99,9.99,6.992999999999999,USD,"{""deviceModel"":""iPhone7,2"",""deviceName"":""‏iPhone الخاص بـ رشا"",""deviceType"":""Handheld""}","",OM,2014-10-19 12:37:58 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 14:22:05 America/Los_Angeles"", ""unique_identifier"":""bac217ddb8aadfbdce9bc62cf11ff00c6abedab0"", ""original_transaction_id"":""440000118324341"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""440000118324341"", ""quantity"":""1"", ""unique_vendor_identifier"":""9829FC1E-68B0-4CA2-BBC7-818F84737644"", ""product_id"":""ba.lum.tribalrivals.pearls.small.ar"", ""item_id"":""808200600"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414272125421"", ""purchase_date"":""2014-10-25 21:22:05 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 14:22:05 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 21:22:05 Etc/GMT"", ""original_purchase_date_ms"":""1414272125421""}, ""status"":0}",2014-10-25 14:22:13 -0400 PDT,2014-10-25 21:22:13 -0400 UTC,6:1:44:15 (dd:hh:mm:ss)
31_c6c903ec-2394-11e4-ad8e-22000a4a0686,9,76,239534,97795,30578,9,2079,Valid,540000057599608,625,ba.lum.tribalrivals.pearls.xsmall.ar,4.99,4.99,3.493,USD,"{""deviceModel"":""iPhone6,2"",""deviceName"":""Abdulaziz Aljasser"",""deviceType"":""Handheld""}","iPhone 5s (model A1457, A1518, A1528 (China), A1530 | Global)",KW,2014-08-14 02:24:22 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 14:22:23 America/Los_Angeles"", ""unique_identifier"":""b0f43fdb55f9c60022fe97a0a5c76c05a925166f"", ""original_transaction_id"":""540000057599608"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""540000057599608"", ""quantity"":""1"", ""unique_vendor_identifier"":""91FC8619-24AF-43AE-B2B9-85E59C34D34C"", ""product_id"":""ba.lum.tribalrivals.pearls.xsmall.ar"", ""item_id"":""808200592"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414272143116"", ""purchase_date"":""2014-10-25 21:22:23 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 14:22:23 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 21:22:23 Etc/GMT"", ""original_purchase_date_ms"":""1414272143116""}, ""status"":0}",2014-10-25 14:22:33 -0400 PDT,2014-10-25 21:22:33 -0400 UTC,72:11:58:11 (dd:hh:mm:ss)
31_eb07e26a-223f-11e4-ad8e-22000a4a0686,7,48,326004,265844,0,1101,648,Valid,530000075348175,625,ba.lum.tribalrivals.pearls.xsmall.ar,4.99,4.99,3.493,USD,"{""deviceModel"":""iPhone4,1"",""deviceName"":""12334"",""deviceType"":""Handheld""}",iPhone 4S,SA,2014-08-12 09:44:24 -0400 PDT,"{""receipt"":{""original_purchase_date_pst"":""2014-10-25 14:22:54 America/Los_Angeles"", ""unique_identifier"":""51f1b4e3bc167adf4ce668ca1111dee5b2d71784"", ""original_transaction_id"":""530000075348175"", ""bvrs"":""1.9"", ""app_item_id"":""793770655"", ""transaction_id"":""530000075348175"", ""quantity"":""1"", ""unique_vendor_identifier"":""F966C001-8B20-404C-A36E-9273A97583E5"", ""product_id"":""ba.lum.tribalrivals.pearls.xsmall.ar"", ""item_id"":""808200592"", ""version_external_identifier"":""747932653"", ""bid"":""ba.lum.tribalrivals.arabic"", ""purchase_date_ms"":""1414272174925"", ""purchase_date"":""2014-10-25 21:22:54 Etc/GMT"", ""purchase_date_pst"":""2014-10-25 14:22:54 America/Los_Angeles"", ""original_purchase_date"":""2014-10-25 21:22:54 Etc/GMT"", ""original_purchase_date_ms"":""1414272174925""}, ""status"":0}",2014-10-25 14:23:04 -0400 PDT,2014-10-25 21:23:04 -0400 UTC,74:4:38:40 (dd:hh:mm:ss)
31_8c13735c-2861-11e4-90c0-22000a4a0686,6,28,465667,82886,0,85,629,Not verified,4743718695528800547,0,ba.lum.tribalrivals.pearls.medium.ar,74.99,20.42,14.294,AED,"{""deviceModel"":""iPad2,5"",""deviceName"":""‏iPad الخاص بـ ابراهيم"",""deviceType"":""Handheld""}",iPad Mini (WiFi),AE,2014-08-20 05:00:15 -0400 PDT,"{""status"":21002}",2014-10-25 14:23:22 -0400 PDT,2014-10-25 21:23:22 -0400 UTC,66:9:23:7 (dd:hh:mm:ss)
