Start Date	End Date	Duration	Clan Id	Clan Name	Clan Symbol	Member Id	Pearl
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_8ce6016e-d2b7-11e3-a92c-12313b09a242	2500
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_8d9d181f-0f65-11e4-b281-22000ad2b690	2500
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_657	امراء الخليج	13	29_c75c8589-b0df-11e3-99ce-22000ad02fa9	2500
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_657	امراء الخليج	13	29_f53b9389-b044-11e3-99ce-22000ad02fa9	2500
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_15d3653b-d791-11e3-b281-22000ad2b690	2500
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_657	امراء الخليج	13	29_0138b8ad-aee1-11e3-99ce-22000ad02fa9	2500
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_657	امراء الخليج	13	29_1bfaed88-b4e9-11e3-a92c-12313b09a242	2500
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_4691c489-f26f-11e3-b281-22000ad2b690	2500
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_657	امراء الخليج	13	29_4067bf48-b61f-11e3-a92c-12313b09a242	2500
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_69d5feff-bdca-11e3-a92c-12313b09a242	2500
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_11	State of Qatar	15	29_a2c9e17c-af57-11e3-99ce-22000ad02fa9	1250
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_11	State of Qatar	15	29_f78cf0cb-aee3-11e3-99ce-22000ad02fa9	1250
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_11	State of Qatar	15	29_609a9669-b46d-11e3-a92c-12313b09a242	1250
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_11	State of Qatar	15	29_e2e1eb5a-b1e9-11e3-99ce-22000ad02fa9	1250
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_11	State of Qatar	15	31_2029d2c5-1a03-11e4-b281-22000ad2b690	1250
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_11	State of Qatar	15	31_5975839d-ce23-11e3-a92c-12313b09a242	1250
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_11	State of Qatar	15	31_1f785b18-c3d2-11e3-a92c-12313b09a242	1250
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_11	State of Qatar	15	31_22221fa3-c840-11e3-a92c-12313b09a242	1250
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_11	State of Qatar	15	31_7e8ad424-d85a-11e3-b281-22000ad2b690	1250
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_11	State of Qatar	15	31_b398fafb-07eb-11e4-b281-22000ad2b690	1250
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_07491198-1f2b-11e4-ad8e-22000a4a0686	750
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_4cb91d17-19d6-11e4-b281-22000ad2b690	750
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_d147614c-1bec-11e4-ad8e-22000a4a0686	750
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_6a33a465-2309-11e4-ad8e-22000a4a0686	750
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_304680c3-1a65-11e4-b281-22000ad2b690	750
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_0faeffba-1b1a-11e4-ad8e-22000a4a0686	750
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_37a9c7e7-1a39-11e4-b281-22000ad2b690	750
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_6481db78-1b1b-11e4-ad8e-22000a4a0686	750
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_85479e6a-1a00-11e4-b281-22000ad2b690	750
2014-08-15-16-59-39-EDT	2014-08-15-17-00-00-EDT	20160	31_818	درع الجزيرة	8	30_7d9a71e6-b6e2-11e3-a92c-12313b09a242	750
