Start Date	End Date	Duration	Clan Id	Clan Name	Clan Symbol	Member Id	Pearl
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_8ce6016e-d2b7-11e3-a92c-12313b09a242	2500
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_07e3742d-2088-11e4-ad8e-22000a4a0686	2500
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_657	امراء الخليج	13	29_a2c9e17c-af57-11e3-99ce-22000ad02fa9	2500
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_8d9d181f-0f65-11e4-b281-22000ad2b690	2500
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_2029d2c5-1a03-11e4-b281-22000ad2b690	2500
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_657	امراء الخليج	13	29_c75c8589-b0df-11e3-99ce-22000ad02fa9	2500
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_657	امراء الخليج	13	30_7d9a71e6-b6e2-11e3-a92c-12313b09a242	2500
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_4397a37d-1958-11e4-b281-22000ad2b690	2500
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_5975839d-ce23-11e3-a92c-12313b09a242	2500
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_8bad05bd-1aa2-11e4-b281-22000ad2b690	2500
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_07491198-1f2b-11e4-ad8e-22000a4a0686	1250
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_673763e1-1c04-11e4-ad8e-22000a4a0686	1250
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_6a33a465-2309-11e4-ad8e-22000a4a0686	1250
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_d147614c-1bec-11e4-ad8e-22000a4a0686	1250
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_e910d915-1967-11e4-b281-22000ad2b690	1250
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_7134b495-1e51-11e4-ad8e-22000a4a0686	1250
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_6481db78-1b1b-11e4-ad8e-22000a4a0686	1250
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_4a20c633-1af2-11e4-ad8e-22000a4a0686	1250
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_001e7301-193f-11e4-b281-22000ad2b690	1250
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_0faeffba-1b1a-11e4-ad8e-22000a4a0686	1250
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_11	State of Qatar	15	29_609a9669-b46d-11e3-a92c-12313b09a242	750
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_11	State of Qatar	15	29_f78cf0cb-aee3-11e3-99ce-22000ad02fa9	750
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_11	State of Qatar	15	31_5b2bc5ec-2d5e-11e4-90c0-22000a4a0686	750
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_11	State of Qatar	15	31_15d3653b-d791-11e3-b281-22000ad2b690	750
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_11	State of Qatar	15	29_e2e1eb5a-b1e9-11e3-99ce-22000ad02fa9	750
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_11	State of Qatar	15	31_1f785b18-c3d2-11e3-a92c-12313b09a242	750
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_11	State of Qatar	15	31_e496ae48-19a9-11e4-b281-22000ad2b690	750
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_11	State of Qatar	15	29_815d3691-b1c9-11e3-99ce-22000ad02fa9	750
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_11	State of Qatar	15	29_03a494d0-b0e2-11e3-99ce-22000ad02fa9	750
2014-08-29-16-59-39-EDT	2014-08-29-17-00-00-EDT	20160	31_11	State of Qatar	15	29_61c2563d-b466-11e3-a92c-12313b09a242	750
