Start Date	End Date	Duration	Clan Id	Clan Name	Clan Symbol	Member Id	Pearl
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_4a62049d-2331-11e4-ad8e-22000a4a0686	2500
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_b643e75e-1ae9-11e4-ad8e-22000a4a0686	2500
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_6a33a465-2309-11e4-ad8e-22000a4a0686	2500
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_673763e1-1c04-11e4-ad8e-22000a4a0686	2500
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_e910d915-1967-11e4-b281-22000ad2b690	2500
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_e947154d-1ae8-11e4-ad8e-22000a4a0686	2500
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_07491198-1f2b-11e4-ad8e-22000a4a0686	2500
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_818	درع الجزيرة	8	29_620b7e37-af1c-11e3-99ce-22000ad02fa9	2500
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_e496ae48-19a9-11e4-b281-22000ad2b690	2500
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_818	درع الجزيرة	8	31_f27ba5e7-1db6-11e4-ad8e-22000a4a0686	2500
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_657	امراء الخليج	13	29_a2c9e17c-af57-11e3-99ce-22000ad02fa9	1250
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_8d9d181f-0f65-11e4-b281-22000ad2b690	1250
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_4397a37d-1958-11e4-b281-22000ad2b690	1250
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_657	امراء الخليج	13	29_c75c8589-b0df-11e3-99ce-22000ad02fa9	1250
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_9269ec2a-19bb-11e4-b281-22000ad2b690	1250
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_8bad05bd-1aa2-11e4-b281-22000ad2b690	1250
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_5975839d-ce23-11e3-a92c-12313b09a242	1250
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_5b0f81aa-2b97-11e4-90c0-22000a4a0686	1250
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_657	امراء الخليج	13	29_1bfaed88-b4e9-11e3-a92c-12313b09a242	1250
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_657	امراء الخليج	13	31_eb25789a-3140-11e4-90c0-22000a4a0686	1250
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_15567	أمراء الجزيرة	16	31_07e3742d-2088-11e4-ad8e-22000a4a0686	750
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_15567	أمراء الجزيرة	16	31_931f15d9-219e-11e4-ad8e-22000a4a0686	750
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_15567	أمراء الجزيرة	16	31_2568ca58-1be8-11e4-ad8e-22000a4a0686	750
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_15567	أمراء الجزيرة	16	31_160775ab-19ae-11e4-b281-22000ad2b690	750
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_15567	أمراء الجزيرة	16	31_942f569f-1e30-11e4-ad8e-22000a4a0686	750
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_15567	أمراء الجزيرة	16	31_64f684af-19c9-11e4-b281-22000ad2b690	750
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_15567	أمراء الجزيرة	16	31_14cbed1a-231f-11e4-ad8e-22000a4a0686	750
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_15567	أمراء الجزيرة	16	31_c6910d88-1f56-11e4-ad8e-22000a4a0686	750
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_15567	أمراء الجزيرة	16	31_b78e1e72-1c19-11e4-ad8e-22000a4a0686	750
2014-09-12-16-59-39-EDT	2014-09-12-17-00-00-EDT	20160	31_15567	أمراء الجزيرة	16	31_73e1967b-1f10-11e4-ad8e-22000a4a0686	750
